,odds_ratio,lower_ci,upper_ci,pval
Intercept,0.21067598187047612,0.1960703935609757,0.226369563150217,0.0
"C(InsuranceStatus, Treatment(reference='uninsured'))[T.insured]",0.9815628306127283,0.9577080094786463,1.00601183336136,0.13821391405344025
C(RACE)[T.Black],1.2985723130098916,1.2217200708926006,1.3802589417098137,4.7058632643391814e-17
C(RACE)[T.Hispanic],0.8533566871859536,0.807629741025909,0.9016726336005795,1.6668150410892234e-08
C(RACE)[T.Native American],1.0885422185188514,0.9416784287763601,1.2583108259553761,0.25124906601124797
C(RACE)[T.Other],0.9272422937057844,0.8656719641577998,0.9931917710575626,0.031174578579925945
C(RACE)[T.Unknown],1.0056595298498077,0.9436826216317752,1.0717068077707645,0.8619489072933776
C(RACE)[T.White],1.0434878602537334,0.9914474082726631,1.09825988288575,0.10291368338847132
C(SEX)[T.Male],1.1318442446757935,1.1110679773376975,1.1530090150517849,3.202925583765335e-39
C(SEX)[T.Unknown],0.44564781522102603,0.3737053128968763,0.531440063486809,2.3113493081133275e-19
C(HOSP_LOCTEACH)[T.Urban nonteaching],0.9651634558373964,0.9330117167782609,0.9984231491761376,0.040241842386006824
C(HOSP_LOCTEACH)[T.Urban teaching],1.0126940637310233,0.979887062156798,1.0465994565320114,0.45281182202471093
C(HOSP_REGION)[T.Northeast],0.6705028515176793,0.6501295280044166,0.6915146205915522,3.2289446725735433e-142
C(HOSP_REGION)[T.South],0.8686505479319611,0.8455252767258137,0.8924082995418036,1.4795999132733772e-24
C(HOSP_REGION)[T.West],0.8143152504547928,0.7905476743323381,0.8387973915466705,4.519404817280093e-42
C(INCOME_QRTL)[T.2],1.0347229087308598,1.0066322099358749,1.0635974959718948,0.015070077002304625
C(INCOME_QRTL)[T.3],0.9930129690491836,0.9659603627336909,1.0208232084277866,0.6188113618618857
C(INCOME_QRTL)[T.4],0.94578133597836,0.9191819927626655,0.9731504125712064,0.00012820541952988422
C(condition)[T.acute_cholecystitis],0.9656731219021484,0.9393948676977416,0.9926864734205566,0.013085714758471156
C(condition)[T.perforated_diverticulitis],1.5546181258495666,1.4348381227833338,1.6843973399116126,4.010799408697107e-27
AGE,1.036110534979696,1.0353531200327373,1.0368685040152943,0.0
