,odds_ratio,lower_ci,upper_ci,pval
Intercept,2.3246974057501067e-06,1.9381062759508063e-07,2.788401283954383e-05,1.4050571816376676e-24
"C(InsuranceStatus, Treatment(reference='uninsured'))[T.insured]",0.5725077417928475,0.3386461965892181,0.9678688782391044,0.03735424891661614
C(RACE)[T.Black],4.214152089940469,0.5397544697052066,32.90214131408482,0.17010517396257496
C(RACE)[T.Hispanic],1.4574530994201553,0.1798998158623989,11.807513681026467,0.7241573777750883
C(RACE)[T.Native American],6.815489757877903e-08,0.0,inf,0.998773039302173
C(RACE)[T.Other],2.4861424816897686,0.2562665749384644,24.119042605329017,0.43212567021997883
C(RACE)[T.Unknown],1.8874806028672626,0.19198037045032842,18.55701714630205,0.5859345328111054
C(RACE)[T.White],2.593432081386139,0.35566696393379926,18.910640129103307,0.3471471858541192
C(SEX)[T.Male],1.3887388051673422,0.9067514950542698,2.1269283585379575,0.13106902962583453
C(SEX)[T.Unknown],5.343105782876074e-35,0.0,inf,0.9999999999999999
C(HOSP_LOCTEACH)[T.Urban nonteaching],1.5545174190363351,0.6288434835384711,3.8428074224284328,0.339378542439449
C(HOSP_LOCTEACH)[T.Urban teaching],2.0441078672283037,0.8585583446215082,4.866736196835482,0.1062239929248753
C(HOSP_REGION)[T.Northeast],1.3653452339640584,0.6680524485974245,2.7904509770485646,0.393173658555506
C(HOSP_REGION)[T.South],1.4703836323194381,0.7894123127256014,2.7387817384404323,0.22443098356230617
C(HOSP_REGION)[T.West],0.8729446478440989,0.3886665753550235,1.960632600072664,0.7420477150161602
C(INCOME_QRTL)[T.2],1.0182232071383948,0.5708430793734586,1.8162232967650893,0.9512290390400583
C(INCOME_QRTL)[T.3],0.748717618518738,0.3987013666028156,1.4060099092632798,0.3680642612970445
C(INCOME_QRTL)[T.4],0.8076235829191521,0.425616892297533,1.5324952169219843,0.5132723457786252
C(condition)[T.acute_cholecystitis],4.431619098321668,2.865559402505074,6.853547623350857,2.1943687356231163e-11
C(condition)[T.perforated_diverticulitis],2.5839457762021634,0.9147360523127086,7.29912826489373,0.07317175076866897
AGE,1.0775533945716371,1.0544605831047018,1.1011519413405761,1.4026115361701533e-11
