,odds_ratio,lower_ci,upper_ci,pval
Intercept,0.14039428620116814,0.12930220729071476,0.15243788958389212,0.0
"C(InsuranceStatus, Treatment(reference='uninsured'))[T.insured]",0.9541855645110219,0.9274129252533142,0.981731078712895,0.0012389280811537806
C(RACE)[T.Black],1.1088840422712087,1.0357762473105314,1.1871519764973797,0.0029769332549920108
C(RACE)[T.Hispanic],0.8844735082574523,0.831220863200933,0.9411378148001801,0.00010673375306478867
C(RACE)[T.Native American],0.9458689507563083,0.8020638849343573,1.1154573704288668,0.5083591086309383
C(RACE)[T.Other],0.9709216267986226,0.8988803184712567,1.0487367294775494,0.4531318926344968
C(RACE)[T.Unknown],0.7011163705728216,0.6507127870582788,0.7554241669469158,1.0752730845171157e-20
C(RACE)[T.White],0.8729786295418414,0.8241785107677259,0.9246682334957506,3.68316669694912e-06
C(SEX)[T.Male],1.0534765497969767,1.0312605613023929,1.0761711274700005,1.662903270282098e-06
C(SEX)[T.Unknown],0.5265167035526451,0.4135147595580371,0.6703988980133029,1.9491850985889315e-07
C(HOSP_LOCTEACH)[T.Urban nonteaching],0.9217467363514297,0.8862318896197732,0.958684804649751,4.81066598797714e-05
C(HOSP_LOCTEACH)[T.Urban teaching],0.9930112308284117,0.9559516039189667,1.0315075580279516,0.717798683352851
C(HOSP_REGION)[T.Northeast],1.3279582507619774,1.2822487532274986,1.3752971966851526,1.0007642812295792e-56
C(HOSP_REGION)[T.South],0.9925435911535178,0.9615456557243199,1.0245408259869118,0.6438484154946313
C(HOSP_REGION)[T.West],1.0755844970552686,1.0387941379216525,1.113677838633403,4.072300634275386e-05
C(INCOME_QRTL)[T.2],1.0213573361328507,0.9894214625267747,1.0543240141651604,0.19229539381733096
C(INCOME_QRTL)[T.3],0.9925327315952598,0.9613274789740123,1.0247509249806632,0.6456093835717366
C(INCOME_QRTL)[T.4],1.0112783926580857,0.9786200928366755,1.0450265582558396,0.5031024196333203
C(condition)[T.acute_cholecystitis],2.3490386762835413,2.28354780036146,2.4164077939610014,0.0
C(condition)[T.perforated_diverticulitis],1.2386797060335495,1.139853717874584,1.34607396552632,4.5208640586668406e-07
AGE,1.0180769565170378,1.0172271185967228,1.0189275044307038,0.0
