,odds_ratio,lower_ci,upper_ci,pval
Intercept,0.021655529644137687,0.01899752783613479,0.024685420556464385,0.0
"C(InsuranceStatus, Treatment(reference='uninsured'))[T.insured]",0.8050260127284685,0.7719652112452743,0.839502702620608,3.801964661117746e-24
C(RACE)[T.Black],1.7503858092370124,1.575359868523967,1.944857516301329,2.115307643533813e-25
C(RACE)[T.Hispanic],0.9011713559715018,0.8138056676514549,0.9979161427655895,0.04549399440764577
C(RACE)[T.Native American],1.0583140945597307,0.8164772886988612,1.3717818465332465,0.6685171811613182
C(RACE)[T.Other],0.9279535735855138,0.8174331244018423,1.0534168594650906,0.247816201282406
C(RACE)[T.Unknown],0.9619249916952693,0.8560741161427143,1.0808639955348085,0.5139939386860884
C(RACE)[T.White],0.9793973142892002,0.8910761937645222,1.0764725911759503,0.6659330936801268
C(SEX)[T.Male],1.424954241812461,1.3787258154275535,1.4727326989446803,2.4801955599400508e-98
C(SEX)[T.Unknown],0.3157751615575167,0.1774272540532803,0.5619990749940386,8.884408489947542e-05
C(HOSP_LOCTEACH)[T.Urban nonteaching],0.9871385120156446,0.9309095023116272,1.046763879286583,0.665301555523358
C(HOSP_LOCTEACH)[T.Urban teaching],1.1088679314326142,1.0480778630445076,1.1731839138247586,0.0003277315972686567
C(HOSP_REGION)[T.Northeast],0.900486547634531,0.8532258528868677,0.9503650407769271,0.00013852066211351147
C(HOSP_REGION)[T.South],1.055074896760159,1.0078523556760939,1.1045100321531798,0.021747019228838555
C(HOSP_REGION)[T.West],0.7785255847593195,0.7377611452920708,0.8215424327949554,7.266109042003953e-20
C(INCOME_QRTL)[T.2],0.9315353862659793,0.8892566150658566,0.9758242572099874,0.002765820331939168
C(INCOME_QRTL)[T.3],0.8904670184110205,0.8494495973893755,0.9334650499744063,1.4241911342223234e-06
C(INCOME_QRTL)[T.4],0.7780687014031822,0.7401338343117277,0.8179478846095519,7.580612417581944e-23
C(condition)[T.acute_cholecystitis],0.5344147944748668,0.5058988599929974,0.5645380828839334,4.3348853198719316e-111
C(condition)[T.perforated_diverticulitis],0.4311859453392201,0.3703413859911028,0.5020268500656946,2.251232685560797e-27
AGE,1.0380121464771899,1.0366525363920942,1.039373539743746,0.0
