,N (%)
Age mean,41.48 +/- 0.03
AGE > 65,0 (0.00)
APRDRG_Severity > 2,"7,753 (4.97)"
APRDRG_Risk_Mortality > 2,"2,535 (1.62)"
[SEX] Female,"75,699 (48.52)"
[SEX] Male,"79,660 (51.05)"
[SEX] Unknown,669 (0.43)
[RACE] Asian or Pacific Islander,"5,835 (3.74)"
[RACE] Black,"9,657 (6.19)"
[RACE] Hispanic,"19,648 (12.59)"
[RACE] Native American,673 (0.43)
[RACE] Other,"5,490 (3.52)"
[RACE] Unknown,"10,122 (6.49)"
[RACE] White,"104,603 (67.04)"
[PAY1] Private insurance,"156,028 (100.00)"
[HOSP_LOCTEACH] Rural,"14,952 (9.58)"
[HOSP_LOCTEACH] Urban nonteaching,"60,921 (39.04)"
[HOSP_LOCTEACH] Urban teaching,"80,155 (51.37)"
[HOSP_REGION] Midwest,"30,286 (19.41)"
[HOSP_REGION] Northeast,"33,951 (21.76)"
[HOSP_REGION] South,"52,482 (33.64)"
[HOSP_REGION] West,"39,309 (25.19)"
[INCOME_QRTL] 1,"29,204 (18.72)"
[INCOME_QRTL] 2,"34,807 (22.31)"
[INCOME_QRTL] 3,"42,947 (27.53)"
[INCOME_QRTL] 4,"49,070 (31.45)"
SSI,600 (0.38)
PROLONGED_LOS,"21,014 (13.47)"
DIED,64 (0.04)
OR_RETURN,"37,105 (23.78)"
AIDS,130 (0.08)
ALCOHOL,"1,252 (0.80)"
ARTHRITIS,"1,130 (0.72)"
"CANCER, LYMPHOMA",208 (0.13)
"CANCER, METASTATIC",392 (0.25)
"CANCER, SOLID",544 (0.35)
DEPRESSION,"6,456 (4.14)"
"DIABETES, UNCOMPLICATED","7,114 (4.56)"
"DIABETES, COMPLICATED","1,005 (0.64)"
HYPERTENSION 1,"24,115 (15.46)"
HYPERTENSION 2,"21,827 (13.99)"
CHRONIC LUNG,"7,809 (5.00)"
OBESITY,"12,704 (8.14)"
PERIPHERAL VASCULAR,572 (0.37)
HYPOTHYROIDISM,"6,171 (3.96)"
